dt,product_group,total_visits,total_clicks,adwords_cost,submitted_apps,used_apps,app_used_conv_rate,total_revenue,value_per_visit,value_per_submitted_app,avg_invoice_value
5/1/2013,Brand,2609,2249,526.5500145,99,21,0.2121,79646.47897,30.52758872,804.5098886,3792.689475
5/1/2013,Bing/Yahoo!,1616,0,0,61,7,0.1148,24649.29985,15.25327961,404.0868828,3521.32855
5/1/2013,Furniture,939,923,1404.299992,6,0,0,0,0,0,0
5/1/2013,Electronics,932,932,1194.209989,9,3,0.3333,5343.849934,5.733744564,593.7611037,1781.283311
5/1/2013,Appliances,697,662,824.8099958,9,2,0.2222,9019.669891,12.94070286,1002.185543,4509.834946
5/1/2013,Lawn Equipment,295,301,392.1400046,5,1,0.2,3399.97998,11.52535587,679.9959961,3399.97998
5/1/2013,Bedding,204,208,604.1100057,4,0,0,0,0,0,0
5/1/2013,Competitors,82,90,179.3899963,0,0,0,0,0,0,0
5/1/2013,Finance,36,30,172.5799999,1,0,0,0,0,0,0
5/1/2013,Dynamic Search Ads,3,0,0,0,0,0,0,0,0,0
5/1/2013,Remarketing,2,0,0,0,0,0,0,0,0,0
5/2/2013,Brand,2624,2211,509.9000021,90,15,0.1667,39228.51949,14.9498931,435.8724388,2615.234633
5/2/2013,Bing/Yahoo!,1705,0,0,52,14,0.2692,20548.24969,12.05175935,395.1586478,1467.732121
5/2/2013,Furniture,1088,1063,1630.939996,14,2,0.1429,3889.919922,3.575294046,277.851423,1944.959961
5/2/2013,Electronics,971,984,1342.60001,18,2,0.1111,9133.899963,9.406694092,507.4388869,4566.949982
5/2/2013,Appliances,725,700,948.6299952,15,3,0.2,8759.589874,12.08219293,583.9726583,2919.863291
5/2/2013,Lawn Equipment,286,293,380.2200052,2,0,0,0,0,0,0
5/2/2013,Bedding,154,148,435.1399924,2,0,0,0,0,0,0
5/2/2013,Competitors,138,146,279.0400016,4,0,0,0,0,0,0
5/2/2013,Finance,50,27,153.420002,1,0,0,0,0,0,0
5/2/2013,Dynamic Search Ads,3,0,0,0,0,0,0,0,0,0
5/2/2013,Remarketing,1,0,0,0,0,0,0,0,0,0
