yr,mon,wk,qtr,product_group,visits,clicks,x,sub.apps,used.apps,app.used.conv.rate,total.rev,avg.invoice.val,profit,y,value.per.sub.app,profit.per.sub.app
2013,5,18,2,Appliances,3323,3202,4294.929954,53,14,1.3831,35683.18947,14562.62562,11989.55166,7694.621708,673.2677258,145.1815417
2013,5,19,2,Appliances,3783,3630,4977.160018,50,8,1.3944,16179.97982,7412.571927,5436.473218,459.3131999,323.5995963,9.186263999
2013,5,20,2,Appliances,4495,4199,5475.010021,78,11,1.0333,21557.9697,12617.19484,7243.47782,1768.467799,276.384227,22.67266409
2013,5,21,2,Appliances,4613,4309,5555.310027,95,26,1.8995,49030.15956,11261.04136,16474.13361,10918.82358,516.1069427,114.9349851
2013,5,22,2,Appliances,2874,2678,3435.189982,49,13,1.7671,24983.08972,9659.009053,8394.318146,4959.128164,509.8589739,101.2066972
2013,6,22,2,Appliances,1094,996,1310.060014,18,1,0.0556,2349.919983,2349.919983,789.5731143,-520.4868995,130.5511102,-28.91593886
2013,6,23,2,Appliances,4121,3840,5384.880016,84,16,1.4479,45530.35928,20208.55135,15298.20072,9913.320702,542.0280867,118.0157226
2013,6,24,2,Appliances,4775,4473,7216.770025,76,20,2.7403,36505.23949,12417.92151,12265.76047,5048.990444,480.3320986,66.43408479
2013,6,25,2,Appliances,4601,4310,7985.549954,79,14,1.2021,32049.54976,14157.63088,10768.64872,2783.098765,405.6905033,35.2290983
2013,6,26,2,Appliances,4001,3681,6002.629987,67,16,1.7055,33603.78965,14604.40984,11290.87332,5288.243336,501.5490992,78.92900501
2013,7,27,3,Appliances,4674,4348,7162.039985,78,19,1.7242,36768.25956,11100.24415,12354.13521,5192.095226,471.3879431,66.56532342
2013,7,28,3,Appliances,4543,4137,8165.699988,66,15,1.723,32858.57955,15329.34228,11040.48273,2874.78274,497.8572658,43.55731424
2013,7,29,3,Appliances,5545,5297,12040.44002,72,15,1.4022,38079.18954,15127.53233,12794.60769,754.1676681,528.8776325,10.47455095
2013,7,30,3,Appliances,5975,5724,12733.30998,80,20,1.856,51727.31911,16511.47308,17380.37922,4647.069246,646.5914889,58.08836558
2013,7,31,3,Appliances,652,556,290.9799986,22,8,1.0952,15173.4601,6148.628403,5098.282593,4807.302594,689.7027317,218.5137543
2013,5,18,2,Bedding,853,850,2563.769998,8,0,0,0,0,0,-2563.769998,0,-320.4712497
2013,5,19,2,Bedding,329,307,808.4299962,4,1,0.5,2953.609997,2953.609997,1361.614209,553.1842125,738.4024993,138.2960531
2013,5,20,2,Bedding,212,184,550.5699988,4,2,1.5,4716.919952,4716.919952,2174.500098,1623.930099,1179.229988,405.9825248
2013,5,21,2,Bedding,382,373,1030.269989,5,2,2,4279.759979,2139.87999,1972.96935,942.6993618,855.9519958,188.5398724
2013,5,22,2,Bedding,206,185,448.5299977,5,1,1,1893.899994,1893.899994,873.0878972,424.5578995,378.7799988,84.9115799
2013,6,22,2,Bedding,77,66,163.9699984,1,0,0,0,0,0,-163.9699984,0,-163.9699984
2013,6,23,2,Bedding,215,205,480.1800009,8,0,0,0,0,0,-480.1800009,0,-60.02250011
2013,6,24,2,Bedding,309,294,729.4599993,3,0,0,0,0,0,-729.4599993,0,-243.1533331
2013,6,25,2,Bedding,313,298,806.4499991,5,2,1,2478.969986,2478.969986,1142.805164,336.3551645,495.7939972,67.2710329
2013,6,26,2,Bedding,347,323,811.9900057,7,1,1,777.8599968,777.8599968,358.5934585,-453.3965471,111.1228567,-64.77093531
2013,7,27,3,Bedding,472,439,1043.719996,9,2,2,3158.699959,3158.699959,1456.160681,412.440685,350.9666621,45.82674278
2013,7,28,3,Bedding,379,360,907.0799951,3,0,0,0,0,0,-907.0799951,0,-302.3599984
2013,7,29,3,Bedding,537,533,1457.880007,6,1,0,609.9799881,609.9799881,281.2007745,-1176.679232,101.6633314,-196.1132054
2013,7,30,3,Bedding,572,569,1839.199993,12,2,1,2179.909958,2179.909958,1004.938491,-834.261502,181.6591632,-69.52179183
2013,7,31,3,Bedding,30,25,55.69999926,1,0,0,0,0,0,-55.69999926,0,-55.69999926
2013,5,18,2,Bing/Yahoo!,7848,0,0,267,71,1.3611,198002.7781,14317.2938,70686.99179,70686.99179,741.5834387,264.7452876
2013,5,19,2,Bing/Yahoo!,10933,0,0,320,66,1.7089,120384.3686,13049.15679,42977.21958,42977.21958,376.2011518,134.3038112
2013,5,20,2,Bing/Yahoo!,11495,0,0,349,79,1.5478,162356.3584,13935.8579,57961.21993,57961.21993,465.2044652,166.0779941
2013,5,21,2,Bing/Yahoo!,13411,0,0,450,90,1.4624,221478.7479,17356.0095,79067.91298,79067.91298,492.1749952,175.7064733
2013,5,22,2,Bing/Yahoo!,9613,0,0,292,48,0.8437,107237.839,11277.04671,38283.90852,38283.90852,367.2528733,131.1092758
2013,6,22,2,Bing/Yahoo!,3690,0,0,58,20,5.2632,53853.03942,5148.394608,19225.53507,19225.53507,928.5006797,331.4747426
2013,6,23,2,Bing/Yahoo!,13345,0,0,413,83,1.4904,169329.2881,14098.67387,60450.55587,60450.55587,409.9982764,146.3693847
2013,6,24,2,Bing/Yahoo!,14015,0,0,340,87,2.8429,176412.5182,14360.45331,62979.26898,62979.26898,518.8603475,185.2331441
2013,6,25,2,Bing/Yahoo!,14235,0,0,443,86,1.3812,158814.0685,12290.10898,56696.62246,56696.62246,358.4967686,127.9833464
